species,condition,rxn_id,rxn_name,flux,direction,metabolite_class
B_subtilis,dextrin_aerobic,EX_nh4_e,Ammonia exchange,-7.047799045805857,uptake,nitrogen
B_subtilis,dextrin_aerobic,EX_o2_e,O2 exchange,-20.0,uptake,gas
B_subtilis,dextrin_aerobic,EX_pi_e,Phosphate exchange,-1.3503443635507324,uptake,ion_or_inorganic
B_subtilis,starch_aerobic,EX_ac_e,Acetate exchange,16.447296299220735,secretion,fermentation_product
B_subtilis,starch_aerobic,EX_fe3_e,Fe3+ exchange,-0.00303539910726969,uptake,ion_or_inorganic
B_subtilis,starch_aerobic,EX_for_e,Formate exchange,0.006957662649364161,secretion,fermentation_product
B_subtilis,starch_aerobic,EX_ca2_e,Calcium exchange,-0.002819841779362132,uptake,ion_or_inorganic
B_subtilis,starch_aerobic,EX_so4_e,Sulfate exchange,-0.14984841575470856,uptake,ion_or_inorganic
B_subtilis,starch_aerobic,EX_co2_e,CO2 exchange,22.045717786254368,secretion,gas
B_subtilis,starch_aerobic,EX_starch_e,Starch exchange,-10.0,uptake,carbon
B_subtilis,starch_aerobic,EX_glyclt_e,Glycolate exchange,0.00032289607894723886,secretion,nitrogen
B_subtilis,starch_aerobic,EX_h2o_e,H2O exchange,16.135472954540973,secretion,ion_or_inorganic
B_subtilis,starch_aerobic,EX_h_e,H+ exchange,33.37443288844784,secretion,ion_or_inorganic
B_subtilis,starch_aerobic,EX_k_e,K+ exchange,-0.6214315403634404,uptake,ion_or_inorganic
B_subtilis,starch_aerobic,EX_lac__L_e,L-Lactate exchange,11.194400891261331,secretion,fermentation_product
B_subtilis,starch_aerobic,EX_mg2_e,Mg exchange,-0.08949060428893602,uptake,ion_or_inorganic
B_subtilis,starch_aerobic,EX_nh4_e,Ammonia exchange,-7.047799045805849,uptake,nitrogen
B_subtilis,starch_aerobic,EX_o2_e,O2 exchange,-20.0,uptake,gas
B_subtilis,starch_aerobic,EX_pi_e,Phosphate exchange,-1.3503443635507182,uptake,ion_or_inorganic
