reaction_id,reaction_name,reaction_equation,lower_bound,upper_bound,gene_reaction_rule,subsystem
DAGCPT_SC,Diacylglycerol cholinephosphotransferase  yeast specific,0.01 12dgr_SC_c + cdpchol_c --> cmp_c + h_c + 0.01 pc_SC_c,0.0,999999.0,YNL130C or YHR123W,
DAGPYP_SC,Diacylglycerol pyrophosphate phosphatase  yeast specific,h2o_c + 0.01 pa_SC_c --> 0.01 12dgr_SC_c + pi_c,0.0,999999.0,YDR503C or YDR284C,
DKMPPD2,2 3 diketo 5 methylthio 1 phosphopentane degradation reaction,dkmpp_c + 3.0 h2o_c --> 2kmb_c + for_c + 6.0 h_c + pi_c,0.0,999999.0,YMR009W and YEL038W,
DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c --> grdp_c + ppi_c,0.0,999999.0,YJL167W,
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,dhpmp_c + h2o_c --> dhnpt_c + pi_c,0.0,999999.0,YDL100C,
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,0.0,999999.0,,
DOLK,Dolichol kinase,ctp_c + dolichol_c --> cdp_c + dolp_c + h_c,0.0,999999.0,YMR013C,
DOLPMMer,Dolichyl phosphate mannose  protein mannosyltransferase  endoplasmic reticular,dolmanp_r --> dolp_r + h_r + mannan_r,0.0,999999.0,(YDL095W and YAL023C) or YOR321W or YJR143C or YDL093W or YGR199W,
DANNt2,7 8 Diaminononanoate reversible transport via proton symport,dann_e + h_e <=> dann_c + h_c,-999999.0,999999.0,,
DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,ctp_c + h_c + 0.01 pa_SC_c <=> 0.01 cdpdag_SC_c + ppi_c,-999999.0,999999.0,YBR029C,
DASYNm_SC,CDP Diacylglycerol synthetase  yeast specific  mitochondrial,ctp_m + h_m + 0.01 pa_SC_m <=> 0.01 cdpdag_SC_m + ppi_m,-999999.0,999999.0,YBR029C,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_c --> db4p_c + for_c + h_c,0.0,999999.0,YDR487C,
DBTS,Dethiobiotin synthase,atp_c + co2_c + dann_c <=> adp_c + dtbt_c + 3.0 h_c + pi_c,-999999.0,999999.0,YNR057C,
DCDPtn,DCDP nuclear transport,dcdp_c <=> dcdp_n,-999999.0,999999.0,,
DCMPDA,DCMP deaminase,dcmp_c + h2o_c + h_c <=> dump_c + nh4_c,-999999.0,999999.0,YHR144C,
DOLPMTcer,Dolichyl phosphate D mannosyltransferase,dolp_c + gdpmann_c --> dolmanp_r + gdp_c,0.0,999999.0,YPR183W,
DOLPt2er,Dolichol phosphate endoplasmic reticular transport via proton symport,dolp_c + h_c <=> dolp_r + h_r,-999999.0,999999.0,,
4HGLSDm,L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial,4hglusa_m + h2o_m + nad_m <=> e4hglu_m + 2.0 h_m + nadh_m,-999999.0,999999.0,YHR037W,
DPCOAK,Dephospho-CoA kinase,atp_c + dpcoa_c --> adp_c + coa_c + h_c,0.0,999999.0,,
DPCOAKm,Dephospho CoA kinase  mitochondrial,atp_m + dpcoa_m --> adp_m + coa_m + h_m,0.0,999999.0,,
DPGM,Diphosphoglyceromutase,13dpg_c <=> 23dpg_c + h_c,-999999.0,999999.0,YKL152C,
DPMVD,Diphosphomevalonate decarboxylase,5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c,0.0,999999.0,YNR043W,
ECOAH4p,3 hydroxyacyl CoA dehydratase  3 hydroxydecanoyl CoA   peroxisomal,3hdcoa_x <=> dc2coa_x + h2o_x,-999999.0,999999.0,YKR009C,
ECOAH5p,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA   peroxisomal,3hddcoa_x <=> dd2coa_x + h2o_x,-999999.0,999999.0,YKR009C,
DPR,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,0.0,999999.0,YHR063C,
4HPRO_LTtm,Trans 4 hydroxy L proline mitochondrial transport via diffusion,4hpro_LT_c <=> 4hpro_LT_m,-999999.0,999999.0,,
DPRm,2 dehydropantoate 2 reductase  mitochondrial,2dhp_m + h_m + nadph_m --> nadp_m + pant__R_m,0.0,999999.0,YLR355C,
ECOAH6p,3 hydroxyacyl CoA dehydratase  3 hydroxytetradecanoyl CoA   peroxisomal,3htdcoa_x <=> h2o_x + td2coa_x,-999999.0,999999.0,YKR009C,
DRBK,Deoxyribokinase,atp_c + drib_c --> 2dr5p_c + adp_c + h_c,0.0,999999.0,YCR036W,
ECOAH7p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexadecanoyl CoA   peroxisomal,3hhdcoa_x <=> h2o_x + hdd2coa_x,-999999.0,999999.0,YKR009C,
ECOAH8p,3 hydroxyacyl CoA dehydratase  3 hydroxyoctadecanoyl CoA   peroxisomal,3hodcoa_x <=> h2o_x + od2coa_x,-999999.0,999999.0,YKR009C,
DROPPRy,2 5 diamino 6 ribosylamino 4 3H  pyrimidinone 5  phosphate reductase  nadph,25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c,0.0,999999.0,YBR153W,
4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c --> 4hthr_c + pi_c,0.0,999999.0,YCR053W,
DRTPPD,2 5 diamino 6 ribitylamino 4 3H  pyrimidinone 5  phosphate deaminase,25dthpp_c + h2o_c + h_c --> 5aprbu_c + nh4_c,0.0,999999.0,YOL066C,
EHGLAT,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase,akg_c + e4hglu_c --> 4h2oglt_c + glu__L_c,0.0,999999.0,YLR027C,
EHGLATm,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  mitochondrial,akg_m + e4hglu_m --> 4h2oglt_m + glu__L_m,0.0,999999.0,YKL106W,
EHGLATp,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  peroxisomal,akg_x + e4hglu_x --> 4h2oglt_x + glu__L_x,0.0,999999.0,YLR027C,
ENO,Enolase,2pg_c <=> h2o_c + pep_c,-999999.0,999999.0,YPL281C or YGR254W or YHR174W or YOR393W or YMR323W,
EPGALURSe,Endopolygalacturonase  extracellular,h2o_e + pectin_e --> galur_e,0.0,999999.0,YJR153W,
EPISTAT_SC,Acyl CoAepisterol acyltransferase  yeast specific,0.01 epist_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.27 odecoa_c + 0.02 pmtcoa_c + 0.03 stcoa_c + 0.015 tdcoa_c --> coa_c + 0.01 epistest_SC_c,0.0,999999.0,YCR048W,
DTMPK,DTMP kinase,atp_c + dtmp_c <=> adp_c + dtdp_c,-999999.0,999999.0,YJR057W,
DTTPt,DTTP reversible uniport,dttp_e <=> dttp_c,-999999.0,999999.0,,
DUMPtn,DUMP nuclear transport,dump_c <=> dump_n,-999999.0,999999.0,,
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),atp_c + duri_c --> adp_c + dump_c + h_c,0.0,999999.0,,
DURIPP,Deoxyuridine phosphorylase,duri_c + pi_c <=> 2dr1p_c + ura_c,-999999.0,999999.0,YLR209C,
DURIt2,Deoxyuridine transport in via proton symport,duri_e + h_e --> duri_c + h_c,0.0,999999.0,,
DUTPDP,DUTP diphosphatase,dutp_c + h2o_c --> dump_c + h_c + ppi_c,0.0,999999.0,YBR252W,
EPISTESTH_SC,Episterol ester hydrolase  yeast specific,0.01 epistest_SC_c + h2o_c --> 0.01 epist_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c,0.0,999999.0,YLL012W or YKL140W,
EPISTESTH_SCe,Episterol ester hydrolase  yeast specific  extracellular,0.01 epistest_SC_e + h2o_e --> 0.01 epist_e + h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e,0.0,999999.0,YLR020C,
EPISTt,Episterol reversible transport,epist_e <=> epist_c,-999999.0,999999.0,YOR011W or YIL013C,
DXHPScm,Deoxyhypusine synthase  cytosolicmitochondrial,h2o_c + q6_m + spmd_c --> 13dampp_c + 4abutn_c + q6h2_m,0.0,999999.0,YHR068W,
D_LACDcm,D lactate dehydrogenase  cytosolicmitochondrial,2.0 ficytc_m + lac__D_c --> 2.0 focytc_m + pyr_c,0.0,999999.0,(YJR048W and YDL174C) or (YEL039C and YDL174C) or (YJR048W and YEL071W) or (YEL039C and YEL071W),
EPMGH,Epimelibiose galactohydrolase,epm_c + h2o_c <=> gal_c + man_c,-999999.0,999999.0,YBR184W,
4MOPDC,4 Methyl 2 oxopentanoate decarboxylase,4mop_c + h_c --> 3mbald_c + co2_c,0.0,999999.0,YDL080C or YDR380W,
ERGSTAT_SC,Acyl CoAergosterol acyltransferase  yeast specific,0.01 ergst_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.27 odecoa_c + 0.02 pmtcoa_c + 0.03 stcoa_c + 0.015 tdcoa_c --> coa_c + 0.01 ergstest_SC_c,0.0,999999.0,YCR048W or YNR019W,
ERGSTESTH_SC,Ergosterol ester hydrolase  yeast specific,0.01 ergstest_SC_c + h2o_c --> 0.01 ergst_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c,0.0,999999.0,YKL140W or YLL012W,
ERGSTESTH_SCe,Ergosterol ester hydrolase  yeast specific  extracellular,0.01 ergstest_SC_e + h2o_e --> 0.01 ergst_e + h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e,0.0,999999.0,YLR020C,
ERGSTGLCT,UDP glucoseergosterol glucosyltransferase,ergst_c + udpg_c --> ergst3glc_c + h_c + udp_c,0.0,999999.0,YLR189C,
D_LACDm,D lactate dehydrogenase  mitochondrial,2.0 ficytc_m + lac__D_m --> 2.0 focytc_m + pyr_m,0.0,999999.0,(YJR048W and YDL178W) or (YEL039C and YDL178W),
D_LACt2,D lactate transport via proton symport,h_e + lac__D_e <=> h_c + lac__D_c,-999999.0,999999.0,YKL217W,
D_LACt2m,D lactatepyruvate antiport  mitochondrial,lac__D_c + pyr_m <=> lac__D_m + pyr_c,-999999.0,999999.0,,
D_LACtm,D lactate transport  mitochondrial,h_c + lac__D_c <=> h_m + lac__D_m,-999999.0,999999.0,,
E4HGLUtm,L erythro 4 hydroxyglutamate mitochondrial transport via diffusion,e4hglu_c <=> e4hglu_m,-999999.0,999999.0,,
ERGSTt,Ergosterol reversible transport,ergst_e <=> ergst_c,-999999.0,999999.0,YIL013C or YOR011W,
ERGSTter,Ergosterol endoplasmic reticular transport,ergst_r <=> ergst_c,-999999.0,999999.0,,
ERGTETROLter,Ergosta 5 6 22 24  28  tetraen 3beta ol endoplamic reticular transport,ergtetrol_c <=> ergtetrol_r,-999999.0,999999.0,,
E4HGLUtp,L erythro 4 hydroxyglutamate peroxisomal transport via diffusion,e4hglu_c <=> e4hglu_x,-999999.0,999999.0,,
E4Ptm,D erythrose 4 phosphate mtiochondrial transport via diffusion,e4p_c <=> e4p_m,-999999.0,999999.0,,
ETHAK,Ethanolamine kinase,atp_c + etha_c --> adp_c + ethamp_c + h_c,0.0,999999.0,YDR147W,
5AOPt2,5 Aminolevulinate transport in via proton symport,5aop_e + h_e --> 5aop_c + h_c,0.0,999999.0,YDL210W,
ETHAPT_SC,Ethanolaminephosphotransferase  yeast specific,0.01 12dgr_SC_c + cdpea_c <=> cmp_c + h_c + 0.01 pe_SC_c,-999999.0,999999.0,YHR123W,
ETHAt,Ethanolamine transport via diffusion  extracellular,etha_e <=> etha_c,-999999.0,999999.0,,
ETOHt,Ethanol reversible transport,etoh_e <=> etoh_c,-999999.0,999999.0,,
ETOHtm,Ethanol transport to mitochondria  diffusion,etoh_c <=> etoh_m,-999999.0,999999.0,,
ECOAH11p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexacosyl CoA   peroxisomal,h2o_x + hxc2coa_x <=> 3hxccoa_x,-999999.0,999999.0,YKR009C,
EX_ergst_e,Ergosterol exchange,ergst_e --> ,0.0,999999.0,,
EX_ergstest_SC_e,Ergosterol ester  yeast specific exchange,ergstest_SC_e --> ,0.0,999999.0,,
EX_13BDglcn_e,1 3 beta D Glucan exchange,13BDglcn_e --> ,0.0,999999.0,,
EX_etha_e,Ethanolamine exchange,etha_e --> ,0.0,999999.0,,
EX_2hb_e,2 Hydroxybutyrate exchange,2hb_e --> ,0.0,999999.0,,
EX_etoh_e,Ethanol exchange,etoh_e --> ,0.0,999999.0,,
5AOPtm,5 Aminolevulinate mitochondrial transport,5aop_c <=> 5aop_m,-999999.0,999999.0,,
EX_fe2_e,Fe2+ exchange,fe2_e <=> ,-999999.0,999999.0,,
EX_fecost_e,Fecosterol exchange,fecost_e --> ,0.0,999999.0,,
EX_2mbac_e,2 methylbutyl acetate exchange,2mbac_e --> ,0.0,999999.0,,
EX_2mbald_e,2 methylbutyraldehyde exchange,2mbald_e --> ,0.0,999999.0,,
EX_2mbtoh_e,2 methyl 1 butanol exchange,2mbtoh_e --> ,0.0,999999.0,,
EX_2mppal_e,2 methylpropanal exchange,2mppal_e --> ,0.0,999999.0,,
EX_2phetoh_e,2 phenylethanol exchange,2phetoh_e --> ,0.0,999999.0,,
EX_fecostest_SC_e,Fecosterol ester  yeast specific exchange,fecostest_SC_e --> ,0.0,999999.0,,
EX_fmn_e,FMN exchange,fmn_e --> ,0.0,999999.0,,
EX_3c3hmp_e,3 Carboxy 3 hydroxy 4 methylpentanoate exchange,3c3hmp_e --> ,0.0,999999.0,,
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,6pgl_c <=> 6pgl_r,-999999.0,999999.0,,
EX_3mbald_e,3 Methylbutanal exchange,3mbald_e --> ,0.0,999999.0,,
EX_for_e,Formate exchange,for_e --> ,0.0,999999.0,,
EX_fru_e,D-Fructose exchange,fru_e --> ,0.0,999999.0,,
EX_3mop_e,3mop exchange,3mop_e --> ,0.0,999999.0,,
8AONNt2,8 Amino 7 oxononanoate reversible transport via proton symport,8aonn_e + h_e <=> 8aonn_c + h_c,-999999.0,999999.0,YNR056C,
EX_4abut_e,4-Aminobutanoate exchange,4abut_e --> ,0.0,999999.0,,
EX_fum_e,Fumarate exchange,fum_e --> ,0.0,999999.0,,
EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,g3pc_e --> ,0.0,999999.0,,
EX_4abz_e,4 Aminobenzoate exchange,4abz_e --> ,0.0,999999.0,,
AABTN,4 acetamidobutyrate deacetylase,4aabutn_c + h2o_c --> 4abut_c + ac_c,0.0,999999.0,,
EX_5aop_e,5 Amino 4 oxopentanoate exchange,5aop_e --> ,0.0,999999.0,,
EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol exchange,g3pi_e --> ,0.0,999999.0,,
EX_gal_e,D-Galactose exchange,gal_e --> ,0.0,999999.0,,
EX_8aonn_e,8 Amino 7 oxononanoate exchange,8aonn_e --> ,0.0,999999.0,,
EX_Nbfortyr_e,N N bisformyl dityrosine exchange,Nbfortyr_e --> ,0.0,999999.0,,
EX_abt_e,L Arabinitol exchange,abt_e --> ,0.0,999999.0,,
EX_ac_e,Acetate exchange,ac_e --> ,0.0,999999.0,,
EX_acald_e,Acetaldehyde exchange,acald_e --> ,0.0,999999.0,,
EX_aces_e,Acetic ester exchange,aces_e --> ,0.0,999999.0,,
EX_galur_e,D-Galacturonate exchange,galur_e --> ,0.0,999999.0,,
EX_gam6p_e,D-Glucosamine 6-phosphate exchange,gam6p_e --> ,0.0,999999.0,,
EX_gcald_e,Glycolaldehyde exchange,gcald_e --> ,0.0,999999.0,,
EX_glc__D_e,D-Glucose exchange,glc__D_e <=> ,-10.0,999999.0,,
EX_gln__L_e,L-Glutamine exchange,gln__L_e --> ,0.0,999999.0,,
EX_glu__L_e,L-Glutamate exchange,glu__L_e --> ,0.0,999999.0,,
EX_glx_e,Glyoxylate exchange,glx_e --> ,0.0,999999.0,,
EX_ade_e,Adenine exchange,ade_e --> ,0.0,999999.0,,
EX_adn_e,Adenosine exchange,adn_e --> ,0.0,999999.0,,
EX_akg_e,2-Oxoglutarate exchange,akg_e --> ,0.0,999999.0,,
EX_ala__L_e,L-Alanine exchange,ala__L_e --> ,0.0,999999.0,,
EX_gly_e,Glycine exchange,gly_e --> ,0.0,999999.0,,
EX_glyc_e,Glycerol exchange,glyc_e --> ,0.0,999999.0,,
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,0.0,999999.0,,
EX_gsn_e,Guanosine exchange,gsn_e --> ,0.0,999999.0,,
EX_gthox_e,Oxidized glutathione exchange,gthox_e --> ,0.0,999999.0,,
EX_gthrd_e,Reduced glutathione exchange,gthrd_e --> ,0.0,999999.0,,
EX_alltn_e,Allantoin exchange,alltn_e --> ,0.0,999999.0,,
EX_alltt_e,Allantoate exchange,alltt_e --> ,0.0,999999.0,,
EX_amet_e,S Adenosyl L methionine exchange,amet_e --> ,0.0,999999.0,,
EX_arab__D_e,D Arabinose exchange,arab__D_e --> ,0.0,999999.0,,
EX_arab__L_e,L-Arabinose exchange,arab__L_e --> ,0.0,999999.0,,
EX_gua_e,Guanine exchange,gua_e --> ,0.0,999999.0,,
EX_arg__L_e,L-Arginine exchange,arg__L_e --> ,0.0,999999.0,,
EX_h2o_e,H2O exchange,h2o_e <=> ,-999999.0,999999.0,,
AASAD1,L aminoadipate semialdehyde dehydrogenase  NADPH,L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c,0.0,999999.0,YBR115C and YGL154C,
EX_h_e,H+ exchange,h_e <=> ,-999999.0,999999.0,,
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,hdca_e --> ,0.0,999999.0,,
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,hdcea_e --> ,0.0,999999.0,,
EX_asn__L_e,L-Asparagine exchange,asn__L_e --> ,0.0,999999.0,,
EX_asp__L_e,L-Aspartate exchange,asp__L_e --> ,0.0,999999.0,,
EX_btd_RR_e,R R  2 3 Butanediol exchange,btd_RR_e --> ,0.0,999999.0,,
EX_btn_e,Biotin exchange,btn_e --> ,0.0,999999.0,,
EX_hexc_e,Hexacosanoate  n C260  exchange,hexc_e --> ,0.0,999999.0,,
AASAD2,L aminoadipate semialdehyde dehydrogenase  NADH,L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c,0.0,999999.0,YBR115C and YGL154C,
EX_his__L_e,L-Histidine exchange,his__L_e --> ,0.0,999999.0,,
EX_hxan_e,Hypoxanthine exchange,hxan_e --> ,0.0,999999.0,,
EX_iamac_e,Isoamyl acetate exchange,iamac_e --> ,0.0,999999.0,,
EX_iamoh_e,Isoamyl alcohol exchange,iamoh_e --> ,0.0,999999.0,,
EX_ibutac_e,Isobutyl acetate exchange,ibutac_e --> ,0.0,999999.0,,
EX_chol_e,Choline exchange,chol_e --> ,0.0,999999.0,,
EX_cit_e,Citrate exchange,cit_e --> ,0.0,999999.0,,
EX_co2_e,CO2 exchange,co2_e --> ,0.0,999999.0,,
EX_crn_e,L-Carnitine exchange,crn_e --> ,0.0,999999.0,,
EX_csn_e,Cytosine exchange,csn_e --> ,0.0,999999.0,,
EX_cys__L_e,L-Cysteine exchange,cys__L_e --> ,0.0,999999.0,,
EX_cytd_e,Cytidine exchange,cytd_e --> ,0.0,999999.0,,
EX_dad_2_e,Deoxyadenosine exchange,dad_2_e --> ,0.0,999999.0,,
EX_dann_e,7 8 Diaminononanoate exchange,dann_e --> ,0.0,999999.0,,
EX_ibutoh_e,Isobutyl alcohol exchange,ibutoh_e --> ,0.0,999999.0,,
EX_id3acald_e,Indole 3 acetaldehyde exchange,id3acald_e --> ,0.0,999999.0,,
EX_ile__L_e,L-Isoleucine exchange,ile__L_e --> ,0.0,999999.0,,
EX_ind3eth_e,Indole 3 ethanol exchange,ind3eth_e --> ,0.0,999999.0,,
EX_inost_e,Myo-Inositol exchange,inost_e --> ,0.0,999999.0,,
EX_dca_e,Decanoate (n-C10:0) exchange,dca_e --> ,0.0,999999.0,,
EX_dcyt_e,Deoxycytidine exchange,dcyt_e --> ,0.0,999999.0,,
EX_ddca_e,Dodecanoate (n-C12:0) exchange,ddca_e --> ,0.0,999999.0,,
EX_ins_e,Inosine exchange,ins_e --> ,0.0,999999.0,,
EX_k_e,K+ exchange,k_e <=> ,-999999.0,999999.0,,
EX_dgsn_e,Deoxyguanosine exchange,dgsn_e --> ,0.0,999999.0,,
EX_din_e,Deoxyinosine exchange,din_e --> ,0.0,999999.0,,
EX_lac__D_e,D-lactate exchange,lac__D_e --> ,0.0,999999.0,,
AATA,2 aminoadipate transaminase,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c,-999999.0,999999.0,,
EX_lac__L_e,L-Lactate exchange,lac__L_e --> ,0.0,999999.0,,
EX_lanost_e,Lanosterol exchange,lanost_e --> ,0.0,999999.0,,
EX_lanostest_SC_e,Lanosterol ester  yeast specific exchange,lanostest_SC_e --> ,0.0,999999.0,,
EX_dttp_e,DTTP exchange,dttp_e --> ,0.0,999999.0,,
EX_duri_e,Deoxyuridine exchange,duri_e --> ,0.0,999999.0,,
EX_leu__L_e,L-Leucine exchange,leu__L_e --> ,0.0,999999.0,,
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c --> glu__L_c + sucsal_c,0.0,999999.0,YGR019W,
EX_lys__L_e,L-Lysine exchange,lys__L_e --> ,0.0,999999.0,,
EX_mal__L_e,L-Malate exchange,mal__L_e --> ,0.0,999999.0,,
EX_malt_e,Maltose exchange,malt_e --> ,0.0,999999.0,,
EX_ribflv_e,Riboflavin exchange,ribflv_e --> ,0.0,999999.0,,
EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e --> ,0.0,999999.0,,
EX_man_e,D-Mannose exchange,man_e --> ,0.0,999999.0,,
ABTt,L arabinitol transport via passive diffusion,abt_e <=> abt_c,-999999.0,999999.0,,
EX_melib_e,Melibiose exchange,melib_e --> ,0.0,999999.0,,
EX_met__L_e,L-Methionine exchange,met__L_e --> ,0.0,999999.0,,
EX_mmet_e,S-Methyl-L-methionine exchange,mmet_e --> ,0.0,999999.0,,
EX_na1_e,Sodium exchange,na1_e <=> ,-999999.0,999999.0,,
EX_nac_e,Nicotinate exchange,nac_e --> ,0.0,999999.0,,
EX_sbt__L_e,L Sorbitol exchange,sbt__L_e --> ,0.0,999999.0,,
EX_ser__L_e,L-Serine exchange,ser__L_e --> ,0.0,999999.0,,
EX_so3_e,Sulfite exchange,so3_e --> ,0.0,999999.0,,
EX_so4_e,Sulfate exchange,so4_e <=> ,-999999.0,999999.0,,
EX_spmd_e,Spermidine exchange,spmd_e --> ,0.0,999999.0,,
EX_sprm_e,Spermine exchange,sprm_e --> ,0.0,999999.0,,
EX_srb__L_e,L Sorbose exchange,srb__L_e --> ,0.0,999999.0,,
EX_succ_e,Succinate exchange,succ_e --> ,0.0,999999.0,,
EX_nadp_e,Nicotinamide adenine dinucleotide phosphate exchange,nadp_e --> ,0.0,999999.0,,
EX_nh4_e,Ammonia exchange,nh4_e <=> ,-999999.0,999999.0,,
EX_nmn_e,NMN exchange,nmn_e --> ,0.0,999999.0,,
EX_sucr_e,Sucrose exchange,sucr_e --> ,0.0,999999.0,,
EX_o2_e,O2 exchange,o2_e <=> ,-2.0,999999.0,,
EX_taur_e,Taurine exchange,taur_e --> ,0.0,999999.0,,
ABUTDm,Aminobutyraldehyde dehydrogenase  mitochondrial,4abutn_m + h2o_m + nad_m --> 4abut_m + 2.0 h_m + nadh_m,0.0,999999.0,YOR374W or YER073W,
EX_thm_e,Thiamin exchange,thm_e --> ,0.0,999999.0,,
EX_oaa_e,Oxaloacetate exchange,oaa_e --> ,0.0,999999.0,,
EX_ocdca_e,Octadecanoate (n-C18:0) exchange,ocdca_e --> ,0.0,999999.0,,
EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,ocdcea_e --> ,0.0,999999.0,,
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,4abut_e + h_e <=> 4abut_c + h_c,-999999.0,999999.0,YOR348C or YDL210W,
EX_ocdcya_e,Octadecynoate  n C182  exchange,ocdcya_e --> ,0.0,999999.0,,
EX_orn_e,Ornithine exchange,orn_e --> ,0.0,999999.0,,
EX_thmmp_e,Thiamin monophosphate exchange,thmmp_e --> ,0.0,999999.0,,
EX_thmpp_e,Thiamine diphosphate exchange,thmpp_e --> ,0.0,999999.0,,
EX_thr__L_e,L-Threonine exchange,thr__L_e --> ,0.0,999999.0,,
EX_thym_e,Thymine exchange,thym_e --> ,0.0,999999.0,,
EX_pacald_e,Phenylacetaldehyde exchange,pacald_e --> ,0.0,999999.0,,
EX_pap_e,Adenosine 3  5  bisphosphate exchange,pap_e --> ,0.0,999999.0,,
EX_thymd_e,Thymidine exchange,thymd_e --> ,0.0,999999.0,,
ACACT1r,Acetyl-CoA C-acetyltransferase,2.0 accoa_c --> aacoa_c + coa_c,0.0,999999.0,YPL028W,
EX_tre_e,Trehalose exchange,tre_e --> ,0.0,999999.0,,
EX_trp__L_e,L-Tryptophan exchange,trp__L_e --> ,0.0,999999.0,,
EX_pc_SC_e,Phosphatidylcholine  yeast specific exchange,pc_SC_e --> ,0.0,999999.0,,
EX_pectin_e,Pectin exchange,pectin_e --> ,0.0,999999.0,,
EX_pepd_e,Peptide exchange,pepd_e --> ,0.0,999999.0,,
EX_phe__L_e,L-Phenylalanine exchange,phe__L_e --> ,0.0,999999.0,,
EX_pheac_e,Phenethyl acetate exchange,pheac_e --> ,0.0,999999.0,,
EX_pi_e,Phosphate exchange,pi_e <=> ,-999999.0,999999.0,,
EX_pnto__R_e,(R)-Pantothenate exchange,pnto__R_e --> ,0.0,999999.0,,
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,ttdca_e --> ,0.0,999999.0,,
EX_tyr__L_e,L-Tyrosine exchange,tyr__L_e --> ,0.0,999999.0,,
EX_ura_e,Uracil exchange,ura_e --> ,0.0,999999.0,,
EX_urea_e,Urea exchange,urea_e --> ,0.0,999999.0,,
EX_uri_e,Uridine exchange,uri_e --> ,0.0,999999.0,,
EX_val__L_e,L-Valine exchange,val__L_e --> ,0.0,999999.0,,
EX_xan_e,Xanthine exchange,xan_e --> ,0.0,999999.0,,
EX_xtsn_e,Xanthosine exchange,xtsn_e --> ,0.0,999999.0,,
EX_pro__L_e,L-Proline exchange,pro__L_e --> ,0.0,999999.0,,
EX_ptd1ino_SC_e,Phosphatidyl 1D myo inositol  yeast specific exchange,ptd1ino_SC_e --> ,0.0,999999.0,,
EX_ptrc_e,Putrescine exchange,ptrc_e --> ,0.0,999999.0,,
EX_pyr_e,Pyruvate exchange,pyr_e --> ,0.0,999999.0,,
EX_xyl__D_e,D-Xylose exchange,xyl__D_e --> ,0.0,999999.0,,
EX_xylt_e,Xylitol exchange,xylt_e --> ,0.0,999999.0,,
EX_rib__D_e,D-Ribose exchange,rib__D_e --> ,0.0,999999.0,,
ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,2.0 accoa_m --> aacoa_m + coa_m,0.0,999999.0,YPL028W,
EX_zymst_e,Zymosterol exchange,zymst_e --> ,0.0,999999.0,,
EX_zymstest_SC_e,Zymosterol ester  yeast specific exchange,zymstest_SC_e --> ,0.0,999999.0,,
FA100tp,Fatty acid peroxisomal transport,dca_c --> dca_x,0.0,999999.0,,
