metabolite_id,metabolite_name,compartment,formula,charge
2agpg180_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C_p,C24H48O9P,0
2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C_c,C24H46O9P,-1
2agpg181_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C_p,C24H46O9P,-1
2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate,C_c,C6H9O4,0
2ahethmpp_c,2-(alpha-Hydroxyethyl)thiamine diphosphate,C_c,C14H20N4O8P2S,-2
2ahhmp_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2,C_c,C7H9N5O2,0
2amsa_c,2-Aminomalonate semialdehyde,C_c,C3H5NO3,0
2aobut_c,L-2-Amino-3-oxobutanoate,C_c,C4H7NO3,0
2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C_c,C12H13NO9P,-3
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C_c,C7H10O10P,-3
2dhglcn_c,2-Dehydro-D-gluconate,C_c,C6H9O7,-1
2dhglcn_e,2-Dehydro-D-gluconate,C_e,C6H9O7,-1
