metabolite_id,metabolite_name,compartment,formula,charge
phe__L_c,L-Phenylalanine,C_c,C9H11NO2,0
phe__L_e,L-Phenylalanine,C_e,C9H11NO2,0
pheme_c,Protoheme C34H30FeN4O4,C_c,C34H30FeN4O4,-2
pheme_e,Protoheme C34H30FeN4O4,C_e,C34H30FeN4O4,-2
phom_c,O-Phospho-L-homoserine,C_c,C4H8NO6P,-2
phpyr_c,Phenylpyruvate,C_c,C9H7O3,-1
phthr_c,O-Phospho-4-hydroxy-L-threonine,C_c,C4H8NO7P,-2
pi_c,Phosphate,C_c,HO4P,-2
pi_e,Phosphate,C_e,HO4P,-2
pi_p,Phosphate,C_p,HO4P,-2
pmtcoa_c,Palmitoyl-CoA (n-C16:0CoA),C_c,C37H62N7O17P3S,-4
pnto__R_c,(R)-Pantothenate,C_c,C9H16NO5,-1
pnto__R_e,(R)-Pantothenate,C_e,C9H16NO5,-1
ppa_c,Propionate (n-C3:0),C_c,C3H5O2,-1
ppal_c,Propanal,C_c,C3H6O,0
ppap_c,Propanoyl phosphate,C_c,C3H5O5P,-2
ppap_e,Propanoyl phosphate,C_e,C3H5O5P,-2
ppbng_c,Porphobilinogen,C_c,C10H13N2O4,-1
ppcoa_c,Propanoyl-CoA,C_c,C24H36N7O17P3S,-4
ppgpp_c,"Guanosine 3',5'-bis(diphosphate)",C_c,C10H11N5O17P4,0
pphn_c,Prephenate,C_c,C10H8O6,0
ppi_c,Diphosphate,C_c,HO7P2,-3
ppi_e,Diphosphate,C_e,HO7P2,-3
ppp9_c,Protoporphyrin,C_c,C34H32N4O4,-2
pppg9_c,Protoporphyrinogen IX,C_c,C34H38N4O4,-2
pppi_c,Inorganic triphosphate,C_c,HO10P3,0
pram_c,5-Phospho-beta-D-ribosylamine,C_c,C5H11NO7P,-1
pran_c,N-(5-Phospho-D-ribosyl)anthranilate,C_c,C12H13NO9P,-3
prbamp_c,1-(5-Phosphoribosyl)-AMP,C_c,C15H19N5O14P2,0
prbatp_c,1-(5-Phosphoribosyl)-ATP,C_c,C15H19N5O20P4,0
prfp_c,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,C_c,C15H21N5O15P2,-4
prlp_c,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide,C_c,C15H21N5O15P2,-4
pro__D_c,D-Proline,C_c,C5H8NO2,0
pro__L_c,L-Proline,C_c,C5H9NO2,0
pro__L_e,L-Proline,C_e,C5H9NO2,0
prpp_c,5-Phospho-alpha-D-ribose 1-diphosphate,C_c,C5H8O14P3,-5
psd5p_c,Pseudouridine 5  phosphate C9H11N2O9P,C_c,C9H11N2O9P,-2
pser__L_c,O-Phospho-L-serine,C_c,C3H6NO6P,-2
pt2coa_c,Pent-2-enoyl-CoA,C_c,C26H38N7O17P3S,0
pta_c,Pentanoate,C_c,C5H9O2,-1
ptcoa_c,Pentanoyl-CoA,C_c,C26H40N7O17P3S,0
ptrc_c,Putrescine,C_c,C4H14N2,2
ptrc_e,Putrescine,C_e,C4H14N2,2
ptrc_p,Putrescine,C_p,C4H14N2,2
pyam5p_c,Pyridoxamine 5'-phosphate,C_c,C8H12N2O5P,-1
pydam_c,Pyridoxamine,C_c,C8H13N2O2,1
pydx5p_c,Pyridoxal 5'-phosphate,C_c,C8H8NO6P,-2
pydx_c,Pyridoxal,C_c,C8H9NO3,0
pydxn_c,Pyridoxine,C_c,C8H11NO3,0
pyovd_kt_e,Pyoverdine  P putida specific,C_e,C27H48N10O15,0
pyr_c,Pyruvate,C_c,C3H3O3,-1
pyr_e,Pyruvate,C_e,C3H3O3,-1
q8_c,Ubiquinone-8,C_c,C49H74O4,0
q8h2_c,Ubiquinol-8,C_c,C49H76O4,0
quln_c,Quinolinate,C_c,C7H3NO4,-2
r1p_c,Alpha-D-Ribose 1-phosphate,C_c,C5H9O8P,-2
r5p_c,Alpha-D-Ribose 5-phosphate,C_c,C5H9O8P,0
raffin_c,Raffinose C18H32O16,C_c,C18H32O16,0
raffin_e,Raffinose C18H32O16,C_e,C18H32O16,0
rbflvrd_c,Reduced riboflavin,C_c,C17H24N4O6,0
rbl__D_c,D-Ribulose,C_c,C5H10O5,0
rib__D_c,D-Ribose,C_c,C5H10O5,0
rib__D_e,D-Ribose,C_e,C5H10O5,0
ribflv_c,Riboflavin C17H20N4O6,C_c,C17H22N4O6,0
rnam_c,N Ribosylnicotinamide C11H15N2O5,C_c,C11H15N2O5,1
ru5p__D_c,D-Ribulose 5-phosphate,C_c,C5H9O8P,-2
s17bp_c,"Sedoheptulose 1,7-bisphosphate",C_c,C7H12O13P2,0
s7p_c,Sedoheptulose 7-phosphate,C_c,C7H13O10P,-2
s_c,Sulfur,C_c,S,0
salchs4_e,Salmochelin-S4,C_e,C42H46N3O25,0
salchs4fe_e,Salmochelin-S4-Fe-III,C_e,C42FeH46N3O25,0
sbt__D_c,D-Sorbitol,C_c,C6H14O6,0
sbt__D_e,D-Sorbitol,C_e,C6H14O6,0
sbzcoa_c,O-Succinylbenzoyl-CoA,C_c,C32H39N7O20P3S,0
scl_c,Sirohydrochlorin,C_c,C42H39N4O16,0
seahcys_c,Se-Adenosylselenohomocysteine,C_c,C14H20N6O5Se,0
sel_c,Selenate,C_c,O4Se,-2
sel_e,Selenate,C_e,O4Se,-2
selhcys_c,Selenohomocysteine,C_c,C4H9NO2Se,0
ser__D_c,D-Serine,C_c,C3H7NO3,0
ser__L_c,L-Serine,C_c,C3H7NO3,0
ser__L_e,L-Serine,C_e,C3H7NO3,0
sheme_c,Siroheme C42H36FeN4O16,C_c,C42H36FeN4O16,-8
skm5p_c,Shikimate 5-phosphate,C_c,C7H8O8P,-3
skm_c,Shikimate,C_c,C7H9O5,-1
sl26da_c,"N-Succinyl-LL-2,6-diaminoheptanedioate",C_c,C11H16N2O7,-2
sl2a6o_c,N-Succinyl-2-L-amino-6-oxoheptanedioate,C_c,C11H12NO8,-3
slnt_c,Selenite,C_c,O3Se,-2
slnt_e,Selenite,C_e,O3Se,-2
so3_c,Sulfite,C_c,O3S,-2
so3_e,Sulfite,C_e,O3S,-2
so3_p,Sulfite,C_p,O3S,-2
so4_c,Sulfate,C_c,O4S,-2
so4_e,Sulfate,C_e,O4S,-2
so4_p,Sulfate,C_p,O4S,-2
spmd_c,Spermidine,C_c,C7H22N3,3
spmd_e,Spermidine,C_e,C7H22N3,3
spmd_p,Spermidine,C_p,C7H22N3,3
stcoa_c,Stearoyl-CoA (n-C18:0CoA),C_c,C39H66N7O17P3S,-4
stfrnA_c,Staphyloferrin A,C_c,C17H24N2O14,0
stfrnA_e,Staphyloferrin A,C_e,C17H24N2O14,0
succ_c,Succinate,C_c,C4H4O4,-2
succ_e,Succinate,C_e,C4H4O4,-2
succ_p,Succinate,C_p,C4H4O4,-2
succoa_c,Succinyl-CoA,C_c,C25H35N7O19P3S,-5
suchms_c,O-Succinyl-L-homoserine,C_c,C8H12NO6,-1
sucr_c,Sucrose C12H22O11,C_c,C12H22O11,0
sucsal_c,Succinic semialdehyde,C_c,C4H5O3,-1
tag6p__D_c,D-Tagatose 6-phosphate,C_c,C6H11O9P,0
tagdp__D_c,"D-Tagatose 1,6-biphosphate",C_c,C6H10O12P2,0
taur_c,Taurine C2H7NO3S,C_c,C2H7NO3S,0
taur_e,Taurine C2H7NO3S,C_e,C2H7NO3S,0
tcynt_c,Thiocyanate,C_c,CNS,-1
tcynt_e,Thiocyanate,C_e,CNS,-1
tcynt_p,Thiocyanate,C_p,CNS,-1
td2coa_c,Trans-Tetradec-2-enoyl-CoA,C_c,C35H56N7O17P3S,0
td58_2_coa_c,Trans cis cis tetradec 2 5 8 trienoyl CoA,C_c,C35H50N7O17P3S,0
tdcoa_c,Tetradecanoyl-CoA (n-C14:0CoA),C_c,C35H58N7O17P3S,-4
tde2coa_c,Trans cis tetradeca 2 7 dienoyl CoA,C_c,C35H54N7O17P3S,0
