reaction_id,reaction_name,equation,lower_bound,upper_bound,gene_rule,subsystem
EX_g3pe_e,EX_g3pe_e,g3pe_e <=> ,-1000.0,1000.0,,
EX_g3pg_e,EX_g3pg_e,g3pg_e <=> ,-1000.0,1000.0,,
EX_g3ps_e,EX_g3ps_e,g3ps_e <=> ,-1000.0,1000.0,,
EX_gal_bD_e,EX_gal_bD_e,gal_bD_e <=> ,-1000.0,1000.0,,
EX_gal_e,EX_gal_e,gal_e <=> ,-1000.0,1000.0,,
EX_galt_e,EX_galt_e,galt_e <=> ,-1000.0,1000.0,,
EX_galur_e,EX_galur_e,galur_e <=> ,-1000.0,1000.0,,
EX_glc__D_e,EX_glc__D_e,glc__D_e <=> ,-1000.0,1000.0,,
EX_glcur_e,EX_glcur_e,glcur_e <=> ,-1000.0,1000.0,,
EX_gln__L_e,EX_gln__L_e,gln__L_e <=> ,-1000.0,1000.0,,
EX_glu__L_e,EX_glu__L_e,glu__L_e <=> ,-1000.0,1000.0,,
EX_glucan4_e,EX_glucan4_e,glucan4_e <=> ,-1000.0,1000.0,,
EX_glucan6_e,EX_glucan6_e,glucan6_e <=> ,-1000.0,1000.0,,
EX_gly_e,EX_gly_e,gly_e <=> ,-1000.0,1000.0,,
EX_glyb_e,EX_glyb_e,glyb_e <=> ,-1000.0,1000.0,,
EX_glyc3p_e,EX_glyc3p_e,glyc3p_e <=> ,-1000.0,1000.0,,
EX_glyc_e,EX_glyc_e,glyc_e <=> ,-1000.0,1000.0,,
EX_glyclt_e,EX_glyclt_e,glyclt_e <=> ,-1000.0,1000.0,,
EX_gthrd_e,EX_gthrd_e,gthrd_e <=> ,-1000.0,1000.0,,
EX_gua_e,EX_gua_e,gua_e <=> ,-1000.0,1000.0,,
EX_h2o2_e,EX_h2o2_e,h2o2_e <=> ,-1000.0,1000.0,,
EX_h2o_e,EX_h2o_e,h2o_e <=> ,-1000.0,1000.0,,
EX_h2s_e,EX_h2s_e,h2s_e <=> ,-1000.0,1000.0,,
EX_h_e,EX_h_e,h_e <=> ,-1000.0,1000.0,,
EX_hia_e,EX_hia_e,hia_e <=> ,-1000.0,1000.0,,
EX_his__L_e,EX_his__L_e,his__L_e <=> ,-1000.0,1000.0,,
EX_hxa_e,EX_hxa_e,hxa_e <=> ,-1000.0,1000.0,,
EX_hxan_e,EX_hxan_e,hxan_e <=> ,-1000.0,1000.0,,
EX_ile__L_e,EX_ile__L_e,ile__L_e <=> ,-1000.0,1000.0,,
EX_ind3ac_e,EX_ind3ac_e,ind3ac_e <=> ,-1000.0,1000.0,,
EX_inost_e,EX_inost_e,inost_e <=> ,-1000.0,1000.0,,
EX_k_e,EX_k_e,k_e <=> ,-1000.0,1000.0,,
EX_lac__D_e,EX_lac__D_e,lac__D_e <=> ,-1000.0,1000.0,,
EX_lac__L_e,EX_lac__L_e,lac__L_e <=> ,-1000.0,1000.0,,
EX_leu__L_e,EX_leu__L_e,leu__L_e <=> ,-1000.0,1000.0,,
EX_lipoate_e,EX_lipoate_e,lipoate_e <=> ,-1000.0,1000.0,,
EX_lmn2_e,EX_lmn2_e,lmn2_e <=> ,-1000.0,1000.0,,
EX_lys__L_e,EX_lys__L_e,lys__L_e <=> ,-1000.0,1000.0,,
EX_mal__L_e,EX_mal__L_e,mal__L_e <=> ,-1000.0,1000.0,,
EX_man_e,EX_man_e,man_e <=> ,-1000.0,1000.0,,
EX_melib_e,EX_melib_e,melib_e <=> ,-1000.0,1000.0,,
EX_met__D_e,EX_met__D_e,met__D_e <=> ,-1000.0,1000.0,,
EX_met__L_e,EX_met__L_e,met__L_e <=> ,-1000.0,1000.0,,
EX_metox__R_e,EX_metox__R_e,metox__R_e <=> ,-1000.0,1000.0,,
EX_metox_e,EX_metox_e,metox_e <=> ,-1000.0,1000.0,,
EX_mg2_e,EX_mg2_e,mg2_e <=> ,-1000.0,1000.0,,
EX_mn2_e,EX_mn2_e,mn2_e <=> ,-1000.0,1000.0,,
EX_n2o_e,EX_n2o_e,n2o_e <=> ,-1000.0,1000.0,,
EX_na1_e,EX_na1_e,na1_e <=> ,-1000.0,1000.0,,
EX_nac_e,EX_nac_e,nac_e <=> ,-1000.0,1000.0,,
EX_nh4_e,EX_nh4_e,nh4_e <=> ,-1000.0,1000.0,,
EX_ni2_e,EX_ni2_e,ni2_e <=> ,-1000.0,1000.0,,
EX_nmn_e,EX_nmn_e,nmn_e <=> ,-1000.0,1000.0,,
EX_no2_e,EX_no2_e,no2_e <=> ,-1000.0,1000.0,,
EX_no3_e,EX_no3_e,no3_e <=> ,-1000.0,1000.0,,
EX_no_e,EX_no_e,no_e <=> ,-1000.0,1000.0,,
EX_o2_e,EX_o2_e,o2_e <=> ,-1000.0,1000.0,,
EX_ocdcea_e,EX_ocdcea_e,ocdcea_e <=> ,-1000.0,1000.0,,
EX_orn__L_e,EX_orn__L_e,orn__L_e <=> ,-1000.0,1000.0,,
EX_orn_e,EX_orn_e,orn_e <=> ,-1000.0,1000.0,,
EX_pacald_e,EX_pacald_e,pacald_e <=> ,-1000.0,1000.0,,
EX_pea_e,EX_pea_e,pea_e <=> ,-1000.0,1000.0,,
EX_peamn_e,EX_peamn_e,peamn_e <=> ,-1000.0,1000.0,,
EX_phe__L_e,EX_phe__L_e,phe__L_e <=> ,-1000.0,1000.0,,
EX_pheme_e,EX_pheme_e,pheme_e <=> ,-1000.0,1000.0,,
EX_pi_e,EX_pi_e,pi_e <=> ,-1000.0,1000.0,,
EX_pnto__R_e,EX_pnto__R_e,pnto__R_e <=> ,-1000.0,1000.0,,
EX_ppap_e,EX_ppap_e,ppap_e <=> ,-1000.0,1000.0,,
EX_ppi_e,EX_ppi_e,ppi_e <=> ,-1000.0,1000.0,,
