species,condition,rxn_id,rxn_name,flux,direction,metabolite_class
R_microsporus,dextrin_aerobic,EX_pheme_e,EX_pheme_e,0.00024311699834757283,secretion,other
R_microsporus,dextrin_aerobic,EX_pi_e,EX_pi_e,-0.8805728934860786,uptake,ion_or_inorganic
R_microsporus,dextrin_aerobic,EX_so4_e,EX_so4_e,-0.22380694518959635,uptake,ion_or_inorganic
R_microsporus,dextrin_aerobic,EX_zn2_e,EX_zn2_e,-0.0003045101797485191,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_acald_e,EX_acald_e,12.975761015488875,secretion,fermentation_product
R_microsporus,starch_aerobic,EX_ca2_e,EX_ca2_e,-0.004648021951879895,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_cl_e,EX_cl_e,-0.004648021951879895,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_co2_e,EX_co2_e,11.413200068803341,secretion,gas
R_microsporus,starch_aerobic,EX_cobalt2_e,EX_cobalt2_e,-8.929917294677992e-05,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_cu2_e,EX_cu2_e,-0.0006331311361926695,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_fe2_e,EX_fe2_e,-0.01321203588540846,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_glucan4_e,EX_glucan4_e,-10.0,uptake,carbon
R_microsporus,starch_aerobic,EX_h2o_e,EX_h2o_e,44.52708980504203,secretion,ion_or_inorganic
R_microsporus,starch_aerobic,EX_h2s_e,EX_h2s_e,0.5766910306559949,secretion,fermentation_product
R_microsporus,starch_aerobic,EX_h_e,EX_h_e,-0.8811899507710753,uptake,other
R_microsporus,starch_aerobic,EX_k_e,EX_k_e,-0.17430573465000812,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_lac__L_e,EX_lac__L_e,63.23317704588999,secretion,fermentation_product
R_microsporus,starch_aerobic,EX_mg2_e,EX_mg2_e,-0.007746703253133158,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_mn2_e,EX_mn2_e,-0.0006170572850622492,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_nh4_e,EX_nh4_e,-9.999999999999941,uptake,nitrogen
R_microsporus,starch_aerobic,EX_o2_e,EX_o2_e,-20.0,uptake,gas
R_microsporus,starch_aerobic,EX_pheme_e,EX_pheme_e,0.00024311699834761447,secretion,other
R_microsporus,starch_aerobic,EX_pi_e,EX_pi_e,-0.8805728934860131,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_so4_e,EX_so4_e,-0.8004979758455915,uptake,ion_or_inorganic
R_microsporus,starch_aerobic,EX_zn2_e,EX_zn2_e,-0.0003045101797485195,uptake,ion_or_inorganic
