reaction_id,reaction_name,subsystem
ACSp,Acetyl CoA synthetase,
ACt2r,Acetate reversible transport via proton symport,
ALCD24yi,Aldehyde dehydrogenase  isoamyl alcohol  NADP,
ALCD25xi,Aldehyde dehydrogenase  2 phenylethanol  NAD,
ALCD25xim,Aldehyde dehydrogenase  2 phenylethanol  NAD   mitochondrial,
ALCD25yi,Aldehyde dehydrogenase  2 phenylethanol  NADP,
ACtm,Acetate transport  mitochondrial,
3C3HMPt,2 Isopropylmalate transport  diffusion,
ACtp,Acetate transport  peroxisomal,
ACtr,Acetate transporter,
ADA,Adenosine deaminase,
ADCL,4-aminobenzoate synthase,
ALCD26xi,Aldehyde dehydrogenase  tryptophol  NAD,
ALCD26xim,Aldehyde dehydrogenase  tryptophol  NAD   mitochondrial,
ALCD2x_copy1,Alcohol dehydrogenase (ethanol),
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,
ALCD2irm,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol   mitochondrial,
ADCS,4-amino-4-deoxychorismate synthase,
3C3HMPtm,2 Isopropylmalate transport  diffusion  mitochondrial,
ADD,Adenine deaminase,
ADEt2,Adenine transport in via proton symport,
ADEtm,Adenine reversible transport  mitochondria,
ADHAPR_SC,Acyldihydroxyacetonephosphate reductase  yeast specific,
ADK1,Adenylate kinase,
ADK1m,Adenylate kinase  mitochondrial,
ADK3,Adentylate kinase (GTP),
ALCD2x_copy2,Alcohol dehydrogenase (ethanol),
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,
ALDD20y,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP,
ALDD20ym,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP   mitochondrial,
ALDD22x,Aldehyde dehydrogenase  3 aminopropanal  NAD,
