reaction_id,reaction_name,subsystem
EX_tcynt_e,EX_tcynt_e,
EX_tet_e,EX_tet_e,
EX_thm_e,EX_thm_e,
EX_thr__L_e,EX_thr__L_e,
EX_thym_e,EX_thym_e,
EX_thymd_e,EX_thymd_e,
EX_tnt_e,EX_tnt_e,
EX_trp__L_e,EX_trp__L_e,
EX_tsul_e,EX_tsul_e,
EX_ttrcyc_e,EX_ttrcyc_e,
EX_tyr__L_e,EX_tyr__L_e,
EX_udcpp_e,EX_udcpp_e,
EX_ura_e,EX_ura_e,
EX_urea_e,EX_urea_e,
EX_val__L_e,EX_val__L_e,
EX_xan_e,EX_xan_e,
EX_xyl3_e,EX_xyl3_e,
EX_xyl__D_e,EX_xyl__D_e,
EX_xylb_e,EX_xylb_e,
EX_zn2_e,EX_zn2_e,
12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",
12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",
12DGR160tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)",
12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",
12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",
12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",
12PPDRDH,R Propane 1 2 diol dehydratase,
12PPDt,"S-Propane-1,2-diol facilitated transport",
14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",
1P2CBXLCYCL,1 Pyrroline 2 carboxylate cyclation,
1P2CBXLR,Delta1 piperideine 2 carboxylate reductase,
25DKGLCNt2rpp,2 5 diketo D gluconate transport via proton symport  reversible  periplasm,
25DKGLCNtex,2 5 diketo D gluconate transport via diffusion  extracellular to periplasm,
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),
2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),
2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),
2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),
2DGLCNRx,2-dehydro-D-gluconate reductase (NADH),
2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),
2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),
2DGULRGy,2-Dehydro-L-gulonate reductase to gluconate (NADPH),
2DGULRx,2-dehydro-L-gulonate reductase (NADH),
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),
2DHGLCNkt_tpp,2 ketogluconate transporter,
2DHGLCNtex,Ketogluconate transport via diffusion  extracellular to periplasm,
2DHPFALDL,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),
2MBALDt,2 Methylbutanal transport  extracellular,
2OBUT_Et,2-Oxobutanoate transport (transport mechanism unknown - evidence from biolog data),
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,
34dhpactex,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,
3HSA,MNXR19078,
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,
3OADPCOAT,3-oxoadipate CoA-transferase,
3OXCOAT,3-oxoadipyl-CoA thiolase,
3SALATAi,3-sulfino-alanine transaminase (irreversible),
3_4DHBZ1t_pp,"3,4DHBZ1t LPAREN pp RPAREN",
3_4DHBZt2,Protocatechuate outher membrane transport,
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,
4CMLCL_kt,4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN,
4HALDD,Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD,
4HBADH,4 hydroxy benzyl alcohol dehydrogenase,
4HPRO_LT_Et,Trans-4-Hydroxy-L-proline transport (transport mechanism unknown - evidence from biolog data),
4HTHRK,4-Hydroxy-L-threonine kinase,
4HTHRS,4-Hydroxy-L-threonine synthase,
5DGLCNR,5-dehydro-D-gluconate reductase,
5DKGR,5-keto-D-gluconate 5-reductase,
5DOAN,5'-deoxyadenosine nuclosidase,
AAAN,,
AABTN,4 acetamidobutyrate deacetylase,
AACLAM,Acetyl adenylate CoA ligase AMP-forming,
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),
AACPS7,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),
AACT,,
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),
AALDH,Aryl alcohol dehydrogenase,
AAMYLpp,Alpha-amylase (periplasm),
AASAD3,L-aminoadipate-semialdehyde dehydrogenase (NADH),
AATA,2 aminoadipate transaminase,
ABTA,4-aminobutyrate transaminase,
ABTt,L arabinitol transport via passive diffusion,
ABUTD,Aminobutyraldehyde dehydrogenase,
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,
ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm),
ACACT1r,Acetyl-CoA C-acetyltransferase,
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),
ACACt2,Acetoacetate transport via proton symport,
ACALDt,Acetaldehyde reversible transport,
ACCOAC,Acetyl-CoA carboxylase,
ACCOAL,Acetate-CoA ligase (ADP-forming),
ACGAMK,N-acetylglucosamine kinase,
ACGAMPM,Phosphoacetylglucosamine mutase,
ACGLUtd,"Transport of N-Acetyl-L-Glutamate, Diffusion",
ACGS,N-acetylglutamate synthase,
ACHBS,2-aceto-2-hydroxybutanoate synthase,
ACITL,ATP-Citrate lyase,
ACLSb,Acetolactate synthase (step 2),
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,
ACOAD22f,Acyl CoA dehydrogenase  vaccenyl CoA,
ACOAD26f,Acyl CoA dehydrogenase  acyl CoA dehydrogenase  oleicyl CoA   C181d9,
ACOAD27f,Acyl CoA dehydrogenase  cis hexadec 7 enoyl CoA,
ACOAD28f,Acyl CoA dehydrogenase  cis tetradec 5 enoyl CoA,
ACOAD3f,Acyl-CoA dehydrogenase (octanoyl-CoA),
ACOAD4f,Acyl-CoA dehydrogenase (decanoyl-CoA),
ACOAD5f,Acyl-CoA dehydrogenase (dodecanoyl-CoA),
ACOAD6f,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),
ACOAD8f,Acyl-CoA dehydrogenase (octadecanoyl-CoA),
ACOADH1,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),
ACOAM,Acetate CoA ligase AMP-forming,
ACONT,Aconitate hydratase,
ACOTA,Acetylornithine transaminase,
ACOXT,Acetyl-CoA:oxalate CoA-transferase,
ACP1_FMN,Acid phosphatase (FMN),
ACPS,Acyl Carrier Protein Synthase,
ACS,Acetyl-CoA synthetase,
ACS2,Acetyl-CoA synthase (propionate),
ACSPHAC100,R 3 Hydroxyacid Acyl CoA Synthetase  C100,
ACSPHAC101,R 3 Hydroxyacid Acyl CoA Synthetase  C101,
ACSPHAC120,R 3 Hydroxyacid Acyl CoA Synthetase  C120,
ACSPHAC121,R 3 Hydroxyacid Acyl CoA Synthetase  C121,
ACSPHAC121d6,R 3 Hydroxyacid Acyl CoA Synthetase  C121d6,
ACSPHAC140,R 3 Hydroxyacid Acyl CoA Synthetase  C140,
ACSPHAC141,R 3 Hydroxyacid Acyl CoA Synthetase  C141,
ACSPHAC141d5,R 3 Hydroxyacid Acyl CoA Synthetase  C141,
ACSPHAC142,R 3 Hydroxyacid Acyl CoA Synthetase  C142,
ACSPHAC160,R 3 Hydroxyacid Acyl CoA Synthetase  C160,
ACSPHAC40,R 3 Hydroxyacid Acyl CoA Synthetase  C40,
ACSPHAC50,R 3 Hydroxyacid Acyl CoA Synthetase  C50,
ACSPHAC60,R 3 Hydroxyacid Acyl CoA Synthetase  C60,
ACSPHAC70,R 3 Hydroxyacid Acyl CoA Synthetase  C70,
ACSPHAC80,R 3 Hydroxyacid Acyl CoA Synthetase  C80,
ACSPHAC90,R 3 Hydroxyacid Acyl CoA Synthetase  C90,
ACSPHACP100,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C100,
ACSPHACP40,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C40,
ACSPHACP50,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C50,
ACSPHACP60,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C60,
ACSPHACP70,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C70,
ACSPHACP80,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C80,
ACSPHACP90,R 3 Hydroxyacid Acyl CoA Synthetase  Phenyl C90,
ACSPHACT40,R 3 Hydroxyacid Acyl CoA Synthetase  Acetylthio C40,
ACSPHACT60,R 3 Hydroxyacid Acyl CoA Synthetase  Acetylthio C60,
ACTD,Acetoin dehydrogenase,
ACTD2,Acetoin dehydrogenase,
ACTD_1,,
ACTDa,Acetoin dehydrogenase,
ACTNdiff,R acetoin diffusion,
ACt2r,Acetate reversible transport via proton symport,
ACt2rpp,Acetate reversible transport via proton symport (periplasm),
ACtex,Acetate transport via diffusion (extracellular to periplasm),
ACtr,Acetate transporter,
ADA,Adenosine deaminase,
ADAPAT,"E N-acetyl-L,L-diaminopimelate aminotransferase",
ADCL,4-aminobenzoate synthase,
ADCPS1,Adenosylcobinamide-phosphate synthase,
ADCPS2,Adenosylcobinamide-phosphate synthase,
ADCS,4-amino-4-deoxychorismate synthase,
ADEt2rpp,Adenine transport via proton symport (reversible) (periplasm),
ADEtex,Adenine transport via diffusion (extracellular to periplasm),
ADK1,Adenylate kinase,
ADK2,Adenylate kinase (Inorganic triphosphate),
ADK2_1,Adenylate kinase (Inorganic triphosphate),
ADK3,Adentylate kinase (GTP),
ADK4,Adentylate kinase (ITP),
ADMDC,Adenosylmethionine decarboxylase,
ADNCYC,Adenylate cyclase,
ADNK1,Adenosine kinase,
ADOCBIAH,MNXR85327,
ADPGLC,ADPglucose diphosphatase,
ADPRDP,ADPribose diphosphatase,
ADPT,Adenine phosphoribosyltransferase,
ADSELK,Adenylyl-selenate kinase,
ADSELR,Phosphoadenylyl selenate reductase  thioredoxin,
ADSK,Adenylyl-sulfate kinase,
ADSL1r,Adenylsuccinate lyase,
ADSL2r,Adenylosuccinate lyase,
ADSS,Adenylosuccinate synthase,
ADtr,"Acetamide transport, extracellular",
AGDC,N-acetylglucosamine-6-phosphate deacetylase,
AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),
AGM4PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase",
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),
AGMDA,Agmatine deaminase,
AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase",
AGMPTRCtpp,Agmatine/putrescine antiporter (periplasm),
AGMT,Agmatinase,
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),
AGMtex,Agmatine transport via diffusion (extracellular to periplasm),
AGPAT120,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),
AGPAT141,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1),
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),
AGTi,Alanine glyoxylate aminotransferase  irreversible,
AHCi,Adenosylhomocysteinase,
AHSERL,O acetylhomoserine  thiol  lyase,
AHSERL2,O acetylhomoserine  thiol  lyase,
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,
AIRCr,Phosphoribosylaminoimidazole carboxylase,
AKGt2r,2 oxoglutarate reversible transport via symport,
AKP1,Alkaline phosphatase  Dihydroneopterin,
AKP1_2,Alkaline phosphatase (Dihydroneopterin),
AL4D,,
ALAALAr,D-alanine-D-alanine ligase (reversible),
ALAALAtex,D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm),
ALAGLUE,L-alanyl-gamma-glutamate epimerase,
ALAR,Alanine racemase,
ALAS,,
ALATA_L,L-alanine transaminase,
ALAabc,L-alanine transport via ABC system,
ALAt4,Alanine-Sodium symporter,
ALCD1,Alcohol dehydrogenase (methanol),
ALCD19,Alcohol dehydrogenase (glycerol),
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,
ALCD22_L,Alcohol dehydrogenase (L-lactaldehyde),
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,
ALCD2x,Alcohol dehydrogenase (ethanol),
